Sample Point,C0.1,C0.1,0.0,0.0,5.9,5.9,13.9,13.9,27.9,27.9
,g/g CDW,g/g CDW SD,g/g CDW,g/g CDW SD,g/g CDW,g/g CDW SD,g/g CDW,g/g CDW SD,g/g CDW,g/g CDW SD
Name,,,,,,,,,,
(1->4)-beta-D-glucan,0.28933794,0.003943033157227248,0.3036209953333333,0.008286837220385916,0.2560040783333333,0.0054533184283424435,0.29734732700000005,0.010889131719609212,0.31534336599999996,0.007772889486401013
(1->4)-beta-D-mannan,0.061599999999999974,0.0008394711128626905,0.06159999999999997,0.0016812709945020386,0.06159999999999998,0.0013121838424327752,0.061599999999999974,0.0022558484742253196,0.061599999999999995,0.00151837661415177
"1,2-diglyceride",0.0003858696666666639,1.2261824763750932e-05,0.0001744047333333326,1.2838079523802773e-05,0.00040984883999999955,4.0984883999998486e-05,0.0006452929466666649,4.9299689315879906e-05,0.0013410568199999971,8.796363021910581e-05
1-phosphatidyl-1D-myo-inositol(1-),0.0021147047333333266,6.719921545325256e-05,0.0014901788666666607,0.00010969332327920548,0.001817030933333333,0.0001817030933333268,0.0021438829999999936,0.00016379036277331776,0.0028949199666666644,0.0001898858166664207
"alpha,alpha-trehalose",0.03509666666666664,0.0004782895750720381,0.08924958333333333,0.0024359210345734736,0.1473695833333333,0.003139220553831987,0.13171124999999995,0.004823386726474182,0.11940625,0.0029432411945383083
Ceramide,2.6356568198409235e-05,8.375356980364191e-07,2.322247802856913e-05,1.70942619487698e-06,2.6670889014283204e-05,2.667088901428225e-06,3.0119299999999256e-05,2.3010822295238514e-06,9.341022999999717e-05,6.127035639251582e-06
chitin,0.01539999999999996,0.0002098677782156722,0.01539999999999998,0.0004203177486255093,0.015399999999999983,0.0003280459606081935,0.015399999999999966,0.0005639621185563288,0.015399999999999987,0.00037959415353794215
DNA,0.0068745803333333,0.0002100309373147,0.0068933413333333,0.0004335260712129,0.0049392086666666,7.118936146878509e-05,0.004266131,0.0001134844251384,0.003967761,0.0001675313498662
ergosterol,0.006126709666666652,0.00019468915750753296,0.00421561233333332,0.0003103147795502711,0.0043626405,0.0004362640499999843,0.004509668666666657,0.00034453385138125467,0.007442809333333332,0.00048819447336216826
ergosteryl ester,0.0010428313333333307,3.313817118081009e-05,0.00026837123333333247,1.9755032845635875e-05,0.0004937668333333325,4.9376683333331484e-05,0.0007191624333333301,5.494323890277989e-05,0.001240744666666664,8.138387831694884e-05
Glucosylceramide,1.3138012173491123e-05,4.17488123404472e-07,1.1080564577511363e-05,8.156497045458067e-07,7.937812240330688e-06,7.937812240330404e-07,4.7950599031527285e-06,3.6633743588487705e-07,9.429085100442137e-06,6.184798009377217e-07
glycine residue,0.011191693710861225,4.485140684767444e-05,0.009567092110465318,0.0001816423863465261,0.009495496971229693,0.0009495496971229676,0.009423662128009044,0.00021111747320231902,0.00927720352203634,0.00021156351871562875
glycogen,0.05374624999999998,0.0007324419529171491,0.05052916666666663,0.0013791107515101608,0.058493750000000004,0.0012460154810601002,0.04770291666666665,0.0017469245418603502,0.028887083333333282,0.0007120368796166658
IPC,2.2991521303608127e-05,7.306042159577835e-07,1.939098801064532e-05,1.4273869829551938e-06,1.3891171420581146e-05,1.3891171420580648e-06,8.391354830517275e-06,6.410905127985348e-07,1.650089892577534e-05,1.082339651641118e-06
L-alanine residue,0.017368672769972032,6.960603362957776e-05,0.014010910429670979,0.0002660134527762048,0.014171365596610197,0.0014171365596610172,0.014332495412005722,0.00032108963319823033,0.013728763957317305,0.0003130798632936331
L-arginine residue,0.028574768008497883,0.00011451515549279871,0.029397752838898797,0.0005581505767088535,0.03036444757630212,0.0030364447576302065,0.03133499359916308,0.0007019951035599991,0.029843374522873785,0.0006805681592960954
L-asparagine residue,0.016010597131565114,6.416346125744512e-05,0.0132552657862969,0.00025166665913529344,0.013718219603042536,0.0013718219603042513,0.014183014622982004,0.00031774082823872533,0.014465409074615344,0.00032987880843804787
L-aspartic acid residue,0.016148815489245266,6.471737990052893e-05,0.01336969756248492,0.000253839279682965,0.013836648026932517,0.0013836648026932493,0.014305455589551434,0.00032048386243577675,0.014590287932601432,0.0003327266289634864
L-cysteine residue,0.0036627048730330713,1.467851700265344e-05,0.0032295496582324295,6.131676166306028e-05,0.0032648069767947383,0.00032648069767947325,0.003300213122930483,7.393438411500201e-05,0.003230781504497996,7.367688998838928e-05
L-glutamic acid residue,0.029909048059913373,0.0001198623655738515,0.026910776600517706,0.0005109324362842938,0.025534490065937,0.0025534490065936954,0.024152987021377165,0.0005410972423433918,0.020311924231652196,0.000463206628174773
L-glutamine residue,0.029680863808441624,0.00011894790303016526,0.026705466976392863,0.000507034393949659,0.02533968050560807,0.0025339680505608027,0.023968717323015684,0.0005369690645100416,0.02015695904461361,0.0004596726989933733
L-histidine residue,0.006461544214038266,2.589503929390198e-05,0.006636424353910908,0.00012600024568948669,0.007068977890582201,0.0007068977890582189,0.007503229441364659,0.00016809418875598237,0.007593924766580614,0.00017317691054889213
L-isoleucine residue,0.012262991451410412,4.914469900324296e-05,0.010702383647935085,0.00020319721844011982,0.010559479469795727,0.0010559479469795707,0.010416064302352092,0.0002333501717649166,0.010385763890634734,0.0002368438665847128
L-leucine residue,0.022300901839782016,8.937224760854765e-05,0.018860784497776537,0.00035809396052496754,0.018455293116995262,0.001845529311699523,0.018048307191181955,0.00040433463742896216,0.018053939620166416,0.0004117140454717025
L-lysine residue,0.022223502127703784,8.906206346073232e-05,0.018942061493947383,0.0003596370989592051,0.01977184948416405,0.0019771849484164017,0.020604918933927283,0.00046161018527394885,0.020659554419249878,0.0004711342181565218
L-methionine residue,0.004650643125844564,1.863774083972351e-05,0.0043661481141248236,8.289640712505321e-05,0.004232487601879439,0.0004232487601879431,0.0040983272735073215,9.181446518199966e-05,0.003858156827170737,8.798397406870746e-05
L-phenylalanine residue,0.01307190558140542,5.238647256196974e-05,0.011021205148536337,0.00020925041595500974,0.010940453760723712,0.0010940453760723693,0.010859432907267829,0.000243282919596446,0.010723223801821431,0.00024453952681966797
L-proline residue,0.011893338916679971,4.766329353810061e-05,0.010965885045854409,0.00020820009937521134,0.011022636775519722,0.0011022636775519703,0.011079650423204971,0.0002482164332228904,0.010740788875205978,0.0002449400924343929
L-serine residue,0.017699819296696572,7.093312387883135e-05,0.015087972832683661,0.000286462736933649,0.014758686960767849,0.0014758686960767823,0.01442818653445585,0.00032323339299194365,0.014235330668434616,0.0003246319474549448
L-threonine residue,0.016725467156968855,6.7028347232789e-05,0.014685136932951523,0.0002788144282011185,0.014605093160824157,0.0014605093160824133,0.014524796862656175,0.00032539774567117205,0.014837074056873583,0.0003383545038610448
L-tryptophan residue,0.012932097321877866,5.18261822885994e-05,0.010817081703083114,0.0002053748946039777,0.011046786064894808,0.0011046786064894789,0.011277420416662307,0.0002526470569790048,0.010745415972691586,0.00024504561184260365
L-tyrosine residue,0.011332149275626978,4.541429123694388e-05,0.009478801584536125,0.00017996608788128758,0.009680087118701502,0.0009680087118701486,0.009882187585258833,0.00022138977866261307,0.009416002277159297,0.00021472877783249632
L-valine residue,0.013800113406925833,5.530481059872102e-05,0.011797279652717395,0.00022398509429765278,0.011660115183279944,0.0011660115183279923,0.011522466159279323,0.00025813679518242865,0.011596811429218925,0.0002644614000349797
lysophosphatidylcholine,7.786906666666573e-05,2.474454284607759e-06,6.212426666666484e-05,4.573019668567346e-06,8.932126499999891e-05,8.932126499999571e-06,0.00011651826333333264,8.901870401082326e-06,0.0001591526566666655,1.0439263445537603e-05
M(IP)2C,1.3138012173491886e-06,4.1748812340449625e-08,1.1080564577512053e-06,8.156497045458576e-08,7.937812240332482e-07,7.937812240332197e-08,4.795059903152868e-07,3.663374358848877e-08,9.429085100443873e-07,6.184798009378356e-08
MIPC,5.255204869395914e-06,1.669952493617718e-07,4.432225831004546e-06,3.262598818183227e-07,3.1751248961318847e-06,3.1751248961317707e-07,1.918023961261147e-06,1.4653497435395505e-07,3.7716340401762145e-06,2.473919203750467e-07
phosphatidyl-L-serine(1-),0.0004900546666666639,1.5572523487615556e-05,0.00044633633333333194,3.285519396279314e-05,0.0005050176999999991,5.05017699999981e-05,0.0005636990666666649,4.306600435952613e-05,0.0007335171333333324,4.8113419889182565e-05
phosphatidylcholine,0.005572877566666652,0.0001770899711879547,0.0044964451666666535,0.00033098712128274815,0.004738390266666667,0.0004738390266666497,0.004980335366666656,0.0003804922826661337,0.006061318299999998,0.0003975786511279217
phosphatidylethanolamine,0.008997538633333312,0.00028591581966021235,0.004723426999999986,0.00034769544548414715,0.0053940362,0.0005394036199999806,0.006064645399999987,0.0004633324067393294,0.008092117599999997,0.000530784400511769
phosphatidylglycerol,0.0007741619999999974,2.460063488471924e-05,0.00035944199999999736,2.645882879437161e-05,0.00038356343333333315,3.835634333333194e-05,0.00040768486666666493,3.114668674014624e-05,0.0006319322333333315,4.145018500891482e-05
RNA,0.0457794293333333,0.000509284683369,0.0377568713333333,0.000736000948342,0.0373382723333333,0.0005945055362915,0.0361790563333333,0.0005338219616363,0.0343963196666666,0.001515482557063
triglyceride,0.0010869876666666637,3.454133206210017e-05,0.001022250233333329,7.524870190120569e-05,0.0012191567549999995,0.00012191567549999557,0.0014160632766666635,0.00010818571619589622,0.0030489461299999985,0.00019998881921893074
zymosterol ester,2.596819999999889e-05,8.251944771421757e-07,0.0,0.0,6.358131666666613e-05,6.358131666666385e-06,0.00012716263333333275,9.71508885740361e-06,0.0002392604666666655,1.5693756522499397e-05
